"NúmeroDoPedido";"CódigoDoCliente";"CódigoDoFuncionário";"DataDoPedido";"DataDeEntrega";"DataDeEnvio";"Via";"Frete";"NomeDoDestinatário";"EndereçoDoDestinatário";"CidadeDeDestino";"RegiãoDeDestino";"CEPdeDestino";"PaísDeDestino"
10275;"MAGAA";1;7/8/1996 00:00:00;4/9/1996 00:00:00;9/8/1996 00:00:00;1;R$ 26,93;"Magazzini Alimentari Riuniti";"Via Ludovico il Moro 22";"Bergamo";;"24100";"Itália"
10276;"TORTU";8;8/8/1996 00:00:00;22/8/1996 00:00:00;14/8/1996 00:00:00;3;R$ 13,84;"Tortuga Restaurante";"Avda. Azteca 123";"México D.F.";;"05033";"México"
10277;"MORGK";2;9/8/1996 00:00:00;6/9/1996 00:00:00;13/8/1996 00:00:00;3;R$ 125,77;"Morgenstern Gesundkost";"Heerstr. 22";"Leipzig";;"04179";"Alemanha"
10278;"BERGS";8;12/8/1996 00:00:00;9/9/1996 00:00:00;16/8/1996 00:00:00;2;R$ 92,69;"Berglunds snabbköp";"Berguvsvägen  8";"Luleå";;"S-958 22";"Suécia"
10279;"LEHMS";8;13/8/1996 00:00:00;10/9/1996 00:00:00;16/8/1996 00:00:00;2;R$ 25,83;"Lehmanns Marktstand";"Magazinweg 7";"Frankfurt a.M. ";;"60528";"Alemanha"
10280;"BERGS";2;14/8/1996 00:00:00;11/9/1996 00:00:00;12/9/1996 00:00:00;1;R$ 8,98;"Berglunds snabbköp";"Berguvsvägen  8";"Luleå";;"S-958 22";"Suécia"
10281;"ROMEY";4;14/8/1996 00:00:00;28/8/1996 00:00:00;21/8/1996 00:00:00;1;R$ 2,94;"Romero y tomillo";"Gran Vía, 1";"Madrid";;"28001";"Espanha"
10282;"ROMEY";4;15/8/1996 00:00:00;12/9/1996 00:00:00;21/8/1996 00:00:00;1;R$ 12,69;"Romero y tomillo";"Gran Vía, 1";"Madrid";;"28001";"Espanha"
10283;"LILAS";3;16/8/1996 00:00:00;13/9/1996 00:00:00;23/8/1996 00:00:00;3;R$ 84,81;"LILA-Supermercado";"Carrera 52 con Ave. Bolívar #65-98 Llano Largo";"Barquisimeto";"Lara";"3508";"Venezuela"
10284;"LEHMS";4;19/8/1996 00:00:00;16/9/1996 00:00:00;27/8/1996 00:00:00;1;R$ 76,56;"Lehmanns Marktstand";"Magazinweg 7";"Frankfurt a.M. ";;"60528";"Alemanha"
10285;"QUICK";1;20/8/1996 00:00:00;17/9/1996 00:00:00;26/8/1996 00:00:00;2;R$ 76,83;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Alemanha"
10286;"QUICK";8;21/8/1996 00:00:00;18/9/1996 00:00:00;30/8/1996 00:00:00;3;R$ 229,24;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Alemanha"
10287;"RICAR";8;22/8/1996 00:00:00;19/9/1996 00:00:00;28/8/1996 00:00:00;3;R$ 12,76;"Ricardo Adocicados";"Av. Copacabana, 267";"Rio de Janeiro";"RJ";"02389-890";"Brasil"
10288;"REGGC";4;23/8/1996 00:00:00;20/9/1996 00:00:00;3/9/1996 00:00:00;1;R$ 7,45;"Reggiani Caseifici";"Strada Provinciale 124";"Reggio Emilia";;"42100";"Itália"
10289;"BSBEV";7;26/8/1996 00:00:00;23/9/1996 00:00:00;28/8/1996 00:00:00;3;R$ 22,77;"B's Beverages";"Fauntleroy Circus";"London";;"EC2 5NT";"Reino Unido"
10290;"COMMI";8;27/8/1996 00:00:00;24/9/1996 00:00:00;3/9/1996 00:00:00;1;R$ 79,70;"Comércio Mineiro";"Av. dos Lusíadas, 23";"São Paulo";"SP";"05432-043";"Brasil"
10291;"QUEDE";6;27/8/1996 00:00:00;24/9/1996 00:00:00;4/9/1996 00:00:00;2;R$ 6,40;"Que Delícia";"Rua da Panificadora, 12";"Rio de Janeiro";"RJ";"02389-673";"Brasil"
10292;"TRADH";1;28/8/1996 00:00:00;25/9/1996 00:00:00;2/9/1996 00:00:00;2;R$ 1,35;"Tradição Hipermercados";"Av. Inês de Castro, 414";"São Paulo";"SP";"05634-030";"Brasil"
10293;"TORTU";1;29/8/1996 00:00:00;26/9/1996 00:00:00;11/9/1996 00:00:00;3;R$ 21,18;"Tortuga Restaurante";"Avda. Azteca 123";"México D.F.";;"05033";"México"
10294;"RATTC";4;30/8/1996 00:00:00;27/9/1996 00:00:00;5/9/1996 00:00:00;2;R$ 147,26;"Rattlesnake Canyon Grocery";"2817 Milton Dr.";"Albuquerque";"NM";"87110";"EUA"
10295;"VINET";2;2/9/1996 00:00:00;30/9/1996 00:00:00;10/9/1996 00:00:00;2;R$ 1,15;"Vins et alcools Chevalier";"59 rue de l'Abbaye";"Reims";;"51100";"França"
10296;"LILAS";6;3/9/1996 00:00:00;1/10/1996 00:00:00;11/9/1996 00:00:00;1;R$ 0,12;"LILA-Supermercado";"Carrera 52 con Ave. Bolívar #65-98 Llano Largo";"Barquisimeto";"Lara";"3508";"Venezuela"
10297;"BLONP";5;4/9/1996 00:00:00;16/10/1996 00:00:00;10/9/1996 00:00:00;2;R$ 5,74;"Blondel père et fils";"24, place Kléber";"Strasbourg";;"67000";"França"
10298;"HUNGO";6;5/9/1996 00:00:00;3/10/1996 00:00:00;11/9/1996 00:00:00;2;R$ 168,22;"Hungry Owl All-Night Grocers";"8 Johnstown Road";"Cork";"Co. Cork";;"Irlanda"
10299;"RICAR";4;6/9/1996 00:00:00;4/10/1996 00:00:00;13/9/1996 00:00:00;2;R$ 29,76;"Ricardo Adocicados";"Av. Copacabana, 267";"Rio de Janeiro";"RJ";"02389-890";"Brasil"
10300;"MAGAA";2;9/9/1996 00:00:00;7/10/1996 00:00:00;18/9/1996 00:00:00;2;R$ 17,68;"Magazzini Alimentari Riuniti";"Via Ludovico il Moro 22";"Bergamo";;"24100";"Itália"
10301;"WANDK";8;9/9/1996 00:00:00;7/10/1996 00:00:00;17/9/1996 00:00:00;2;R$ 45,08;"Die Wandernde Kuh";"Adenauerallee 900";"Stuttgart";;"70563";"Alemanha"
10302;"SUPRD";4;10/9/1996 00:00:00;8/10/1996 00:00:00;9/10/1996 00:00:00;2;R$ 6,27;"Suprêmes délices";"Boulevard Tirou, 255";"Charleroi";;"B-6000";"Bélgica"
10303;"GODOS";7;11/9/1996 00:00:00;9/10/1996 00:00:00;18/9/1996 00:00:00;2;R$ 107,83;"Godos Cocina Típica";"C/ Romero, 33";"Sevilla";;"41101";"Espanha"
10304;"TORTU";1;12/9/1996 00:00:00;10/10/1996 00:00:00;17/9/1996 00:00:00;2;R$ 63,79;"Tortuga Restaurante";"Avda. Azteca 123";"México D.F.";;"05033";"México"
10305;"OLDWO";8;13/9/1996 00:00:00;11/10/1996 00:00:00;9/10/1996 00:00:00;3;R$ 257,62;"Old World Delicatessen";"2743 Bering St.";"Anchorage";"AK";"99508";"EUA"
10306;"ROMEY";1;16/9/1996 00:00:00;14/10/1996 00:00:00;23/9/1996 00:00:00;3;R$ 7,56;"Romero y tomillo";"Gran Vía, 1";"Madrid";;"28001";"Espanha"
10307;"LONEP";2;17/9/1996 00:00:00;15/10/1996 00:00:00;25/9/1996 00:00:00;2;R$ 0,56;"Lonesome Pine Restaurant";"89 Chiaroscuro Rd.";"Portland";"OR";"97219";"EUA"
10308;"ANATR";7;18/9/1996 00:00:00;16/10/1996 00:00:00;24/9/1996 00:00:00;3;R$ 1,61;"Ana Trujillo Emparedados y helados";"Avda. de la Constitución 2222";"México D.F.";;"05021";"México"
10309;"HUNGO";3;19/9/1996 00:00:00;17/10/1996 00:00:00;23/10/1996 00:00:00;1;R$ 47,30;"Hungry Owl All-Night Grocers";"8 Johnstown Road";"Cork";"Co. Cork";;"Irlanda"
10310;"THEBI";8;20/9/1996 00:00:00;18/10/1996 00:00:00;27/9/1996 00:00:00;2;R$ 17,52;"The Big Cheese";"89 Jefferson Way Suite 2";"Portland";"OR";"97201";"EUA"
10311;"DUMON";1;20/9/1996 00:00:00;4/10/1996 00:00:00;26/9/1996 00:00:00;3;R$ 24,69;"Du monde entier";"67, rue des Cinquante Otages";"Nantes";;"44000";"França"
10312;"WANDK";2;23/9/1996 00:00:00;21/10/1996 00:00:00;3/10/1996 00:00:00;2;R$ 40,26;"Die Wandernde Kuh";"Adenauerallee 900";"Stuttgart";;"70563";"Alemanha"
10313;"QUICK";2;24/9/1996 00:00:00;22/10/1996 00:00:00;4/10/1996 00:00:00;2;R$ 1,96;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Alemanha"
10314;"RATTC";1;25/9/1996 00:00:00;23/10/1996 00:00:00;4/10/1996 00:00:00;2;R$ 74,16;"Rattlesnake Canyon Grocery";"2817 Milton Dr.";"Albuquerque";"NM";"87110";"EUA"
10315;"ISLAT";4;26/9/1996 00:00:00;24/10/1996 00:00:00;3/10/1996 00:00:00;2;R$ 41,76;"Island Trading";"Garden House Crowther Way";"Cowes";"Isle of Wight";"PO31 7PJ";"Reino Unido"
10316;"RATTC";1;27/9/1996 00:00:00;25/10/1996 00:00:00;8/10/1996 00:00:00;3;R$ 150,15;"Rattlesnake Canyon Grocery";"2817 Milton Dr.";"Albuquerque";"NM";"87110";"EUA"
10317;"LONEP";6;30/9/1996 00:00:00;28/10/1996 00:00:00;10/10/1996 00:00:00;1;R$ 12,69;"Lonesome Pine Restaurant";"89 Chiaroscuro Rd.";"Portland";"OR";"97219";"EUA"
10318;"ISLAT";8;1/10/1996 00:00:00;29/10/1996 00:00:00;4/10/1996 00:00:00;2;R$ 4,73;"Island Trading";"Garden House Crowther Way";"Cowes";"Isle of Wight";"PO31 7PJ";"Reino Unido"
10319;"TORTU";7;2/10/1996 00:00:00;30/10/1996 00:00:00;11/10/1996 00:00:00;3;R$ 64,50;"Tortuga Restaurante";"Avda. Azteca 123";"México D.F.";;"05033";"México"
10320;"WARTH";5;3/10/1996 00:00:00;17/10/1996 00:00:00;18/10/1996 00:00:00;3;R$ 34,57;"Wartian Herkku";"Torikatu 38";"Oulu";;"90110";"Finlândia"
10321;"ISLAT";3;3/10/1996 00:00:00;31/10/1996 00:00:00;11/10/1996 00:00:00;2;R$ 3,43;"Island Trading";"Garden House Crowther Way";"Cowes";"Isle of Wight";"PO31 7PJ";"Reino Unido"
10322;"PERIC";7;4/10/1996 00:00:00;1/11/1996 00:00:00;23/10/1996 00:00:00;3;R$ 0,40;"Pericles Comidas clásicas";"Calle Dr. Jorge Cash 321";"México D.F.";;"05033";"México"
10323;"KOENE";4;7/10/1996 00:00:00;4/11/1996 00:00:00;14/10/1996 00:00:00;1;R$ 4,88;"Königlich Essen";"Maubelstr. 90";"Brandenburg";;"14776";"Alemanha"
10324;"SAVEA";9;8/10/1996 00:00:00;5/11/1996 00:00:00;10/10/1996 00:00:00;1;R$ 214,27;"Save-a-lot Markets";"187 Suffolk Ln.";"Boise";"ID";"83720";"EUA"
10325;"KOENE";1;9/10/1996 00:00:00;23/10/1996 00:00:00;14/10/1996 00:00:00;3;R$ 64,86;"Königlich Essen";"Maubelstr. 90";"Brandenburg";;"14776";"Alemanha"
10326;"BOLID";4;10/10/1996 00:00:00;7/11/1996 00:00:00;14/10/1996 00:00:00;2;R$ 77,92;"Bólido Comidas preparadas";"C/ Araquil, 67";"Madrid";;"28023";"Espanha"
10327;"FOLKO";2;11/10/1996 00:00:00;8/11/1996 00:00:00;14/10/1996 00:00:00;1;R$ 63,36;"Folk och fä HB";"Åkergatan 24";"Bräcke";;"S-844 67";"Suécia"
10328;"FURIB";4;14/10/1996 00:00:00;11/11/1996 00:00:00;17/10/1996 00:00:00;3;R$ 87,03;"Furia Bacalhau e Frutos do Mar";"Jardim das rosas n. 32";"Lisboa";;"1675";"Portugal"
10329;"SPLIR";4;15/10/1996 00:00:00;26/11/1996 00:00:00;23/10/1996 00:00:00;2;R$ 191,67;"Split Rail Beer & Ale";"P.O. Box 555";"Lander";"WY";"82520";"EUA"
10330;"LILAS";3;16/10/1996 00:00:00;13/11/1996 00:00:00;28/10/1996 00:00:00;1;R$ 12,75;"LILA-Supermercado";"Carrera 52 con Ave. Bolívar #65-98 Llano Largo";"Barquisimeto";"Lara";"3508";"Venezuela"
10331;"BONAP";9;16/10/1996 00:00:00;27/11/1996 00:00:00;21/10/1996 00:00:00;1;R$ 10,19;"Bon app'";"12, rue des Bouchers";"Marseille";;"13008";"França"
10332;"MEREP";3;17/10/1996 00:00:00;28/11/1996 00:00:00;21/10/1996 00:00:00;2;R$ 52,84;"Mère Paillarde";"43 rue St. Laurent";"Montréal";"Québec";"H1J 1C3";"Canadá"
10333;"WARTH";5;18/10/1996 00:00:00;15/11/1996 00:00:00;25/10/1996 00:00:00;3;R$ 0,59;"Wartian Herkku";"Torikatu 38";"Oulu";;"90110";"Finlândia"
10334;"VICTE";8;21/10/1996 00:00:00;18/11/1996 00:00:00;28/10/1996 00:00:00;2;R$ 8,56;"Victuailles en stock";"2, rue du Commerce";"Lyon";;"69004";"França"
10335;"HUNGO";7;22/10/1996 00:00:00;19/11/1996 00:00:00;24/10/1996 00:00:00;2;R$ 42,11;"Hungry Owl All-Night Grocers";"8 Johnstown Road";"Cork";"Co. Cork";;"Irlanda"
10336;"PRINI";7;23/10/1996 00:00:00;20/11/1996 00:00:00;25/10/1996 00:00:00;2;R$ 15,51;"Princesa Isabel Vinhos";"Estrada da saúde n. 58";"Lisboa";;"1756";"Portugal"
10337;"FRANK";4;24/10/1996 00:00:00;21/11/1996 00:00:00;29/10/1996 00:00:00;3;R$ 108,26;"Frankenversand";"Berliner Platz 43";"München";;"80805";"Alemanha"
10338;"OLDWO";4;25/10/1996 00:00:00;22/11/1996 00:00:00;29/10/1996 00:00:00;3;R$ 84,21;"Old World Delicatessen";"2743 Bering St.";"Anchorage";"AK";"99508";"EUA"
10339;"MEREP";2;28/10/1996 00:00:00;25/11/1996 00:00:00;4/11/1996 00:00:00;2;R$ 15,66;"Mère Paillarde";"43 rue St. Laurent";"Montréal";"Québec";"H1J 1C3";"Canadá"
10340;"BONAP";1;29/10/1996 00:00:00;26/11/1996 00:00:00;8/11/1996 00:00:00;3;R$ 166,31;"Bon app'";"12, rue des Bouchers";"Marseille";;"13008";"França"
10341;"SIMOB";7;29/10/1996 00:00:00;26/11/1996 00:00:00;5/11/1996 00:00:00;3;R$ 26,78;"Simons bistro";"Vinbæltet 34";"København";;"1734";"Dinamarca"
10342;"FRANK";4;30/10/1996 00:00:00;13/11/1996 00:00:00;4/11/1996 00:00:00;2;R$ 54,83;"Frankenversand";"Berliner Platz 43";"München";;"80805";"Alemanha"
10343;"LEHMS";4;31/10/1996 00:00:00;28/11/1996 00:00:00;6/11/1996 00:00:00;1;R$ 110,37;"Lehmanns Marktstand";"Magazinweg 7";"Frankfurt a.M. ";;"60528";"Alemanha"
10344;"WHITC";4;1/11/1996 00:00:00;29/11/1996 00:00:00;5/11/1996 00:00:00;2;R$ 23,29;"White Clover Markets";"1029 - 12th Ave. S.";"Seattle";"WA";"98124";"EUA"
10345;"QUICK";2;4/11/1996 00:00:00;2/12/1996 00:00:00;11/11/1996 00:00:00;2;R$ 249,06;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Alemanha"
10346;"RATTC";3;5/11/1996 00:00:00;17/12/1996 00:00:00;8/11/1996 00:00:00;3;R$ 142,08;"Rattlesnake Canyon Grocery";"2817 Milton Dr.";"Albuquerque";"NM";"87110";"EUA"
10347;"FAMIA";4;6/11/1996 00:00:00;4/12/1996 00:00:00;8/11/1996 00:00:00;3;R$ 3,10;"Familia Arquibaldo";"Rua Orós, 92";"São Paulo";"SP";"05442-030";"Brasil"
10348;"WANDK";4;7/11/1996 00:00:00;5/12/1996 00:00:00;15/11/1996 00:00:00;2;R$ 0,78;"Die Wandernde Kuh";"Adenauerallee 900";"Stuttgart";;"70563";"Alemanha"
10349;"SPLIR";7;8/11/1996 00:00:00;6/12/1996 00:00:00;15/11/1996 00:00:00;1;R$ 8,63;"Split Rail Beer & Ale";"P.O. Box 555";"Lander";"WY";"82520";"EUA"
10350;"LAMAI";6;11/11/1996 00:00:00;9/12/1996 00:00:00;3/12/1996 00:00:00;2;R$ 64,19;"La maison d'Asie";"1 rue Alsace-Lorraine";"Toulouse";;"31000";"França"
10351;"ERNSH";1;11/11/1996 00:00:00;9/12/1996 00:00:00;20/11/1996 00:00:00;1;R$ 162,33;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Áustria"
10352;"FURIB";3;12/11/1996 00:00:00;26/11/1996 00:00:00;18/11/1996 00:00:00;3;R$ 1,30;"Furia Bacalhau e Frutos do Mar";"Jardim das rosas n. 32";"Lisboa";;"1675";"Portugal"
10353;"PICCO";7;13/11/1996 00:00:00;11/12/1996 00:00:00;25/11/1996 00:00:00;3;R$ 360,63;"Piccolo und mehr";"Geislweg 14";"Salzburg";;"5020";"Áustria"
10354;"PERIC";8;14/11/1996 00:00:00;12/12/1996 00:00:00;20/11/1996 00:00:00;3;R$ 53,80;"Pericles Comidas clásicas";"Calle Dr. Jorge Cash 321";"México D.F.";;"05033";"México"
10355;"AROUT";6;15/11/1996 00:00:00;13/12/1996 00:00:00;20/11/1996 00:00:00;1;R$ 41,95;"Around the Horn";"Brook Farm Stratford St. Mary";"Colchester";"Essex";"CO7 6JX";"Reino Unido"
10356;"WANDK";6;18/11/1996 00:00:00;16/12/1996 00:00:00;27/11/1996 00:00:00;2;R$ 36,71;"Die Wandernde Kuh";"Adenauerallee 900";"Stuttgart";;"70563";"Alemanha"
10357;"LILAS";1;19/11/1996 00:00:00;17/12/1996 00:00:00;2/12/1996 00:00:00;3;R$ 34,88;"LILA-Supermercado";"Carrera 52 con Ave. Bolívar #65-98 Llano Largo";"Barquisimeto";"Lara";"3508";"Venezuela"
10358;"LAMAI";5;20/11/1996 00:00:00;18/12/1996 00:00:00;27/11/1996 00:00:00;1;R$ 19,64;"La maison d'Asie";"1 rue Alsace-Lorraine";"Toulouse";;"31000";"França"
10359;"SEVES";5;21/11/1996 00:00:00;19/12/1996 00:00:00;26/11/1996 00:00:00;3;R$ 288,43;"Seven Seas Imports";"90 Wadhurst Rd.";"London";;"OX15 4NB";"Reino Unido"
10360;"BLONP";4;22/11/1996 00:00:00;20/12/1996 00:00:00;2/12/1996 00:00:00;3;R$ 131,70;"Blondel père et fils";"24, place Kléber";"Strasbourg";;"67000";"França"
10361;"QUICK";1;22/11/1996 00:00:00;20/12/1996 00:00:00;3/12/1996 00:00:00;2;R$ 183,17;"QUICK-Stop";"Taucherstraße 10";"Cunewalde";;"01307";"Alemanha"
10362;"BONAP";3;25/11/1996 00:00:00;23/12/1996 00:00:00;28/11/1996 00:00:00;1;R$ 96,04;"Bon app'";"12, rue des Bouchers";"Marseille";;"13008";"França"
10363;"DRACD";4;26/11/1996 00:00:00;24/12/1996 00:00:00;4/12/1996 00:00:00;3;R$ 30,54;"Drachenblut Delikatessen";"Walserweg 21";"Aachen";;"52066";"Alemanha"
10364;"EASTC";1;26/11/1996 00:00:00;7/1/1997 00:00:00;4/12/1996 00:00:00;1;R$ 71,97;"Eastern Connection";"35 King George";"London";;"WX3 6FW";"Reino Unido"
10365;"ANTON";3;27/11/1996 00:00:00;25/12/1996 00:00:00;2/12/1996 00:00:00;2;R$ 22,00;"Antonio Moreno Taquería";"Mataderos  2312";"México D.F.";;"05023";"México"
10366;"GALED";8;28/11/1996 00:00:00;9/1/1997 00:00:00;30/12/1996 00:00:00;2;R$ 10,14;"Galería del gastronómo";"Rambla de Cataluña, 23";"Barcelona";;"8022";"Espanha"
10367;"VAFFE";7;28/11/1996 00:00:00;26/12/1996 00:00:00;2/12/1996 00:00:00;3;R$ 13,55;"Vaffeljernet";"Smagsløget 45";"Århus";;"8200";"Dinamarca"
10368;"ERNSH";2;29/11/1996 00:00:00;27/12/1996 00:00:00;2/12/1996 00:00:00;2;R$ 101,95;"Ernst Handel";"Kirchgasse 6";"Graz";;"8010";"Áustria"
10369;"SPLIR";8;2/12/1996 00:00:00;30/12/1996 00:00:00;9/12/1996 00:00:00;2;R$ 195,68;"Split Rail Beer & Ale";"P.O. Box 555";"Lander";"WY";"82520";"EUA"
10370;"CHOPS";6;3/12/1996 00:00:00;31/12/1996 00:00:00;27/12/1996 00:00:00;2;R$ 1,17;"Chop-suey Chinese";"Hauptstr. 31";"Bern";;"3012";"Suíça"
10371;"LAMAI";1;3/12/1996 00:00:00;31/12/1996 00:00:00;24/12/1996 00:00:00;1;R$ 0,45;"La maison d'Asie";"1 rue Alsace-Lorraine";"Toulouse";;"31000";"França"
10372;"QUEEN";5;4/12/1996 00:00:00;1/1/1997 00:00:00;9/12/1996 00:00:00;2;R$ 890,78;"Queen Cozinha";"Alameda dos Canàrios, 891";"São Paulo";"SP";"05487-020";"Brasil"
10373;"HUNGO";4;5/12/1996 00:00:00;2/1/1997 00:00:00;11/12/1996 00:00:00;3;R$ 124,12;"Hungry Owl All-Night Grocers";"8 Johnstown Road";"Cork";"Co. Cork";;"Irlanda"
10374;"WOLZA";1;5/12/1996 00:00:00;2/1/1997 00:00:00;9/12/1996 00:00:00;3;R$ 3,94;"Wolski Zajazd";"ul. Filtrowa 68";"Warszawa";;"01-012";"Polônia"
10375;"HUNGC";3;6/12/1996 00:00:00;3/1/1997 00:00:00;9/12/1996 00:00:00;2;R$ 20,12;"Hungry Coyote Import Store";"City Center Plaza 516 Main St.";"Elgin";"OR";"97827";"EUA"
10376;"MEREP";1;9/12/1996 00:00:00;6/1/1997 00:00:00;13/12/1996 00:00:00;2;R$ 20,39;"Mère Paillarde";"43 rue St. Laurent";"Montréal";"Québec";"H1J 1C3";"Canadá"
10377;"SEVES";1;9/12/1996 00:00:00;6/1/1997 00:00:00;13/12/1996 00:00:00;3;R$ 22,21;"Seven Seas Imports";"90 Wadhurst Rd.";"London";;"OX15 4NB";"Reino Unido"
